SHIPPING_MODE,SHIPPING_PRICE,WARRANTIES_FLG,CARD_PAYMENT,COUPON_PAYMENT,PRICECLUB_STATUS,BUYER_BIRTHDAY_DATE,PURCHASE_COUNT,SELLER_SCORE_COUNT,SELLER_COUNTRY,PRODUCT_FAMILY,ITEM_PRICE,CLAIM_TYPE
EXPRESS_DELIVERY,5<10,non,1,0,UNSUBSCRIBED,1985,<5,100<1000,"FRANCE, METROPOLITAN",COMPUTER,100<500,oui
RECOMMANDE,Inconnu,non,1,0,REGULAR,1983,5<20,10000<100000,UNITED KINGDOM,ELECTRONICS,500<1000,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1987,<5,10000<100000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1955,<5,100<1000,CHINA,BABY,20<50,oui
SUIVI,Inconnu,non,1,0,GOLD,1979,5<20,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
NORMAL,<1,non,0,0,REGULAR,1993,50<100,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1989,<5,1000<10000,HONG KONG,ELECTRONICS,10<20,oui
NORMAL,Inconnu,non,1,0,PLATINUM,1973,100<500,100000<1000000,GERMANY,MUSIC,10<20,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1977,20<50,100000<1000000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,PLATINUM,1976,20<50,1000<10000,CHINA,ELECTRONICS,<10,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1992,5<20,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,non
RECOMMANDE,Inconnu,non,1,0,GOLD,1977,20<50,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,50<100,non
NORMAL,Inconnu,non,1,0,SILVER,1992,<5,10000<100000,HONG KONG,COMPUTER,50<100,non
NORMAL,Inconnu,non,0,0,PLATINUM,1972,>500,<100,"FRANCE, METROPOLITAN",ELECTRONICS,10<20,non
RECOMMANDE,Inconnu,non,1,0,GOLD,1982,50<100,1000<10000,"FRANCE, METROPOLITAN",WHITE,<10,non
NORMAL,1<5,non,1,0,GOLD,1950,50<100,1000<10000,"FRANCE, METROPOLITAN",MUSIC,10<20,non
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1971,<5,10000<100000,UNITED KINGDOM,HIFI,100<500,non
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1966,<5,10000<100000,"FRANCE, METROPOLITAN",COMPUTER,10<20,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1956,20<50,1000<10000,GERMANY,SPORT,50<100,oui
EXPRESS_DELIVERY,Inconnu,non,1,0,UNSUBSCRIBED,1959,5<20,10000<100000,ANDORRA,WHITE,20<50,oui
SO_POINT_RELAIS,1<5,non,1,0,UNSUBSCRIBED,1955,<5,100<1000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
RECOMMANDE,Inconnu,non,1,0,REGULAR,1974,<5,100<1000,HONG KONG,ELECTRONICS,50<100,oui
NORMAL,Inconnu,oui,1,0,UNSUBSCRIBED,1997,<5,100000<1000000,"FRANCE, METROPOLITAN",GAMES,<10,non
RECOMMANDE,10<20,non,1,0,UNSUBSCRIBED,1966,5<20,10000<100000,LUXEMBOURG,VIDEO,50<100,oui
RECOMMANDE,Inconnu,non,1,0,UNSUBSCRIBED,1968,<5,1000<10000,CHINA,ELECTRONICS,100<500,oui
RECOMMANDE,5<10,non,1,0,UNSUBSCRIBED,1973,5<20,1000<10000,GERMANY,WHITE,20<50,non
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1964,5<20,100000<1000000,"FRANCE, METROPOLITAN",MUSIC,10<20,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1970,<5,1000<10000,"FRANCE, METROPOLITAN",ELECTRONICS,<10,oui
NORMAL,Inconnu,non,1,0,UNSUBSCRIBED,1976,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
NORMAL,Inconnu,non,1,0,GOLD,1976,20<50,100000<1000000,GERMANY,VIDEO,<10,oui
NORMAL,1<5,non,1,0,UNSUBSCRIBED,1967,20<50,10000<100000,"FRANCE, METROPOLITAN",BOOKS,<10,oui
MONDIAL_RELAY,<1,non,0,0,PLATINUM,1969,100<500,100000<1000000,"FRANCE, METROPOLITAN",BOOKS,20<50,non
SUIVI,5<10,non,1,0,UNSUBSCRIBED,1996,<5,1000<10000,"FRANCE, METROPOLITAN",CLOTHING,20<50,non
